id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
18939390,112508469,Jungeun,Mitte,Wedding Zentrum,52.556473,13.374179,Private room,22.000000,2,0,1,0
18958900,132051214,Stefan,Treptow - Köpenick,Plänterwald,52.484100,13.467937,Private room,22.000000,6,0,1,0
19378992,75905090,Ana,Mitte,Alexanderplatz,52.527889,13.399291,Private room,22.000000,5,2,1,0
19659258,138400590,Gurli,Mitte,Parkviertel,52.547794,13.346909,Private room,22.000000,2,2,1,0
19675898,2245764,Ross,Neukölln,Rixdorf,52.480133,13.445890,Private room,22.000000,5,6,1,0
19718116,46799368,Sahar,Neukölln,Neuköllner Mitte/Zentrum,52.466785,13.432319,Private room,22.000000,7,0,1,0
19899648,140901495,Sam,Neukölln,Rixdorf,52.477852,13.448633,Private room,22.000000,2,18,1,0
20046910,142414903,Tobias,Tempelhof - Schöneberg,Friedenau,52.467575,13.338208,Private room,22.000000,6,2,1,0
20767601,148777265,Ruediger,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.507282,13.467199,Private room,22.000000,3,42,1,0
20772470,68223723,Sina,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.492558,13.385605,Private room,22.000000,5,2,1,0
21004171,133112915,Jemima,Mitte,Alexanderplatz,52.526173,13.389327,Private room,22.000000,2,1,1,0
21250668,12329542,Anne-Christin,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.517384,13.468248,Private room,22.000000,2,4,1,12
21286490,62121792,Sarina,Neukölln,Rixdorf,52.471710,13.450773,Private room,22.000000,5,1,1,5
21318287,154304214,Fadi,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.517666,13.463047,Entire home/apt,22.000000,7,0,1,0
21563130,18666061,Marie-Helen,Treptow - Köpenick,Adlershof,52.441544,13.550622,Private room,22.000000,1,1,1,16
21781233,158707126,Dirk,Pankow,Weißensee,52.557156,13.437718,Private room,22.000000,3,8,1,0
21811191,13991211,Kat,Treptow - Köpenick,Alt  Treptow,52.489277,13.457663,Private room,22.000000,1,2,1,0
21850235,51835782,Markus,Pankow,Prenzlauer Berg Nord,52.544163,13.427403,Private room,22.000000,2,1,2,0
21861288,55929837,Sebastian,Steglitz - Zehlendorf,Drakestr.,52.442867,13.297279,Entire home/apt,22.000000,2,4,1,0
21883488,113234181,Clara,Neukölln,Rixdorf,52.481594,13.446805,Private room,22.000000,1,1,1,0
22195977,75776324,Olaf,Treptow - Köpenick,Grünau,52.426838,13.568684,Private room,22.000000,2,0,2,150
22247947,44614597,MexiCat,Mitte,Brunnenstr. Süd,52.536602,13.380732,Private room,22.000000,1,0,1,0
22288330,24994804,Finn,Pankow,Prenzlauer Berg Nord,52.552330,13.415312,Private room,22.000000,5,3,2,0
22338936,28483596,Esther,Mitte,Alexanderplatz,52.506733,13.411625,Private room,22.000000,5,1,1,0
22356884,14225080,Theo,Charlottenburg-Wilm.,Westend,52.517796,13.281886,Private room,22.000000,1,0,1,316
22489304,19274365,Naddy,Tempelhof - Schöneberg,Tempelhof,52.458168,13.376568,Private room,22.000000,4,8,1,8
22781361,97226859,Karlota,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.494499,13.399159,Private room,22.000000,4,7,1,0
22860064,32031098,Uwe,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.495132,13.439516,Private room,22.000000,3,2,1,0
22883174,153776774,Ivo,Mitte,Wedding Zentrum,52.555214,13.373335,Private room,22.000000,4,5,1,129
23384132,2254974,Cathryn,Neukölln,Rixdorf,52.478355,13.442763,Shared room,22.000000,1,0,1,0
23663506,80837749,Luca,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.489433,13.390893,Private room,22.000000,5,1,3,0
23758953,12227881,Maximilian,Neukölln,Schillerpromenade,52.474960,13.425973,Private room,22.000000,1,4,2,0
24977699,20786625,Lavinia,Lichtenberg,Friedrichsfelde Süd,52.496582,13.513315,Private room,22.000000,2,10,1,64
25029027,27458716,Carlitos,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.523205,13.453940,Private room,22.000000,2,17,3,56
25419737,131013911,Malte,Mitte,Wedding Zentrum,52.551201,13.377871,Private room,22.000000,5,5,1,0
25445970,187611499,Sixten,Mitte,Moabit West,52.526482,13.331342,Private room,22.000000,7,0,1,310
